cell,ym,count,mag_mean,mag_max,depth_mean,energy,log_count,log_energy,count_ma3,energy_ma3,count_ma6,energy_ma6,count_ma12,energy_ma12,count_std12,magmax_ma6,mag_sum,b_value,big_flag,months_since_big,sin_month,cos_month,target_count,target_big
-10_-15,1990-01-01,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,120.0,0.49999999999999994,0.8660254037844387,0.0,0.0
-10_-15,1990-02-01,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,120.0,0.8660254037844386,0.5000000000000001,0.0,0.0
-10_-15,1990-03-01,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,120.0,1.0,6.123233995736766e-17,0.0,0.0
-10_-15,1990-04-01,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,120.0,0.8660254037844387,-0.4999999999999998,0.0,0.0
-10_-15,1990-05-01,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,120.0,0.49999999999999994,-0.8660254037844387,0.0,0.0
-10_-15,1990-06-01,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,120.0,1.2246467991473532e-16,-1.0,0.0,0.0
-10_-15,1990-07-01,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,120.0,-0.4999999999999997,-0.8660254037844388,0.0,0.0
-10_-15,1990-08-01,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,120.0,-0.8660254037844385,-0.5000000000000004,0.0,0.0
-10_-15,1990-09-01,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,120.0,-1.0,-1.8369701987210297e-16,0.0,0.0
-10_-15,1990-10-01,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,120.0,-0.8660254037844386,0.5000000000000001,0.0,0.0
